 INFO 2015-04-23 12:03:08,437 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-23 12:03:08,437 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-23 12:03:08,438 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-23 12:03:08,440 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:03:12,842 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item'
 INFO 2015-04-23 12:03:12,843 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-23 12:03:12,844 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
 INFO 2015-04-23 12:03:12,844 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:03:16,949 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank item ID'
 INFO 2015-04-23 12:03:16,950 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Positive_Scenarios set
 INFO 2015-04-23 12:03:16,951 [main] (TestEngine.java:85) - Started executing Test Set :Set_Positive_Scenarios
 INFO 2015-04-23 12:03:16,952 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:03:21,060 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-23 12:03:21,062 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Negative_Scenarios set
 INFO 2015-04-23 12:03:21,063 [main] (TestEngine.java:85) - Started executing Test Set :Set_Negative_Scenarios
 INFO 2015-04-23 12:03:21,063 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:03:25,169 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set with blank Set ID'
 INFO 2015-04-23 12:03:25,172 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-23 12:07:41,763 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-23 12:07:41,952 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-23 12:07:41,952 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-23 12:07:42,070 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-23 12:07:42,071 [main] (TestEngine.java:68) - Total 4 sets for execution in [Items API] suite
 INFO 2015-04-23 12:07:42,072 [main] (TestEngine.java:79) - Total 1 test cases for execution in Items_Positive_Scenarios set
 INFO 2015-04-23 12:07:42,073 [main] (TestEngine.java:85) - Started executing Test Set :Items_Positive_Scenarios
 INFO 2015-04-23 12:07:42,074 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:07:46,492 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item'
 INFO 2015-04-23 12:07:46,493 [main] (TestEngine.java:79) - Total 3 test cases for execution in Items_Negative_Scenarios set
 INFO 2015-04-23 12:07:46,494 [main] (TestEngine.java:85) - Started executing Test Set :Items_Negative_Scenarios
 INFO 2015-04-23 12:07:46,494 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:07:50,598 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank item ID'
 INFO 2015-04-23 12:07:50,598 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:08:01,993 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Item with blank Invalid item ID'
 INFO 2015-04-23 12:08:01,994 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:08:06,155 [main] (TestEngine.java:130) - Failed to  perform 'GET'operation on 'Get the Item with invalid end url'
 INFO 2015-04-23 12:08:06,157 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Positive_Scenarios set
 INFO 2015-04-23 12:08:06,158 [main] (TestEngine.java:85) - Started executing Test Set :Set_Positive_Scenarios
 INFO 2015-04-23 12:08:06,159 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-23 12:08:10,304 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-23 12:08:10,305 [main] (TestEngine.java:79) - Total 1 test cases for execution in Set_Negative_Scenarios set
 INFO 2015-04-23 12:08:10,305 [main] (TestEngine.java:85) - Started executing Test Set :Set_Negative_Scenarios
